! Filnavn !! Type !! Kapitel !! Nr !! Side !! Sektion !! Lyd
| FORORD || Forord ||  ||  || 1 || [[0_Indhold#|0]] || <html5media>File:FORORD.mp3</html5media>
| INTRO_DK || Forord ||  ||  || 1 || [[0_Indhold#|0]] || <html5media>File:INTRO_DK.mp3</html5media>
| INTRO_UK || Forord ||  ||  || 1 || [[0_Indhold#|0]] || <html5media>File:INTRO_UK.mp3</html5media>
| OP-JOUR || Kapitel || 3 ||  || 32 || [[3_Indlæggelsesnotatet#|3]] || <html5media>File:OP-JOUR.mp3</html5media>
| KAP1_15 || Kapitel || 1 ||  || 15 || [[1_Mødet_mellem_læge_og_patient#|1]] || <html5media>File:KAP1_15.mp3</html5media>
| KAP1_15_2 || Kapitel || 1 || 2 || 15 || [[1_Mødet_mellem_læge_og_patient#|1]] || <html5media>File:KAP1_15_2.mp3</html5media>
| KAP1_16 || Kapitel || 1 ||  || 16 || [[1_Mødet_mellem_læge_og_patient#Rammerne_for_mødet_med_patienten|1.2]] || <html5media>File:KAP1_16.mp3</html5media>
| KAP1_16_2 || Kapitel || 1 || 2 || 16 || [[1_Mødet_mellem_læge_og_patient#Rammerne_for_mødet_med_patienten|1.2]] || <html5media>File:KAP1_16_2.mp3</html5media>
| KAP1_17 || Kapitel || 1 ||  || 17 || [[1_Mødet_mellem_læge_og_patient#Omgivelser_og_remedier|1.2.2]] || <html5media>File:KAP1_17.mp3</html5media>
| KAP1_18 || Kapitel || 1 ||  || 18 || [[1_Mødet_mellem_læge_og_patient#Selve_mødet|1.2.3]] || <html5media>File:KAP1_18.mp3</html5media>
| KAP1_19 || Kapitel || 1 ||  || 19 || [[1_Mødet_mellem_læge_og_patient#Samtaleteknik|1.3]] || <html5media>File:KAP1_19.mp3</html5media>
| KAP1_19_2 || Kapitel || 1 || 2 || 19 || [[1_Mødet_mellem_læge_og_patient#Samtaleteknik|1.3]] || <html5media>File:KAP1_19_2.mp3</html5media>
| KAP1_19_3 || Kapitel || 1 || 3 || 19 || [[1_Mødet_mellem_læge_og_patient#Samtaleteknik|1.3]] || <html5media>File:KAP1_19_3.mp3</html5media>
| KAP1_21 || Kapitel || 1 ||  || 21 || [[1_Mødet_mellem_læge_og_patient#Resumér_og_gentag|1.3.3]] || <html5media>File:KAP1_21.mp3</html5media>
| KAP1_22 || Kapitel || 1 ||  || 22 || [[1_Mødet_mellem_læge_og_patient#Rund_af|1.3.4]] || <html5media>File:KAP1_22.mp3</html5media>
| KAP1_22_2 || Kapitel || 1 || 2 || 22 || [[1_Mødet_mellem_læge_og_patient#Rund_af|1.3.4]] || <html5media>File:KAP1_22_2.mp3</html5media>
| KAP1_22_3 || Kapitel || 1 || 3 || 22 || [[1_Mødet_mellem_læge_og_patient#Rund_af|1.3.4]] || <html5media>File:KAP1_22_3.mp3</html5media>
| KAP1_23 || Kapitel || 1 ||  || 23 || [[1_Mødet_mellem_læge_og_patient#Specielle_forhold|1.4]] || <html5media>File:KAP1_23.mp3</html5media>
| KAP2_25 || Kapitel || 2 ||  || 25 || [[2_Sygehusjournalen#|2]] || <html5media>File:KAP2_25.mp3</html5media>
| KAP2_25_2 || Kapitel || 2 || 2 || 25 || [[2_Sygehusjournalen#|2]] || <html5media>File:KAP2_25_2.mp3</html5media>
| KAP2_27 || Kapitel || 2 ||  || 27 || [[2_Sygehusjournalen#Journaltekstens_disposition|2.3]] || <html5media>File:KAP2_27.mp3</html5media>
